학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자,제공기관코드,제공기관명,지번주소
한신대학교,Hanshin University,본교,대학,대학교,사립,41,경기도,"경기도 오산시 한신대길 137 (양산동, 한신대학교)",,18101,,www.hs.ac.kr,031-379-0114,031-379-0039,1940-04-19,2022,2023-12-27,B340014,한국대학교육협의회,경기 오산시 양산동 400
한세대학교,Hansei University,본교,대학,대학교,사립,41,경기도,경기도 군포시 한세로 30 (당정동),,15852,,www.hansei.ac.kr,031-450-5114,031-450-5124,1953-05-10,2022,2023-12-27,B340014,한국대학교육협의회,경기 군포시 당정동 964-1
성결대학교,Sungkyul University,본교,대학,대학교,사립,41,경기도,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교)",,14097,,www.sungkyul.ac.kr,031-467-8114,031-449-0529,1965-01-13,2022,2023-12-27,B340014,한국대학교육협의회,경기 안양시 만안구 안양동 400-10
평택대학교,Pyeongtaek University,본교,대학,대학교,사립,41,경기도,"경기도 평택시 서동대로 3825 (용이동, 평택대학교)",,17869,,www.ptu.ac.kr,031-659-8114,031-659-8011,1990-11-28,2022,2023-12-27,B340014,한국대학교육협의회,경기 평택시 용이동 605
성공회대학교,Sungkonghoe University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 구로구 연동로 320 (항동, 성공회대학교)",,8359,,www.skhu.ac.kr,02-2610-4114,02-2610-4248,1992-12-23,2022,2023-12-27,B340014,한국대학교육협의회,서울 구로구 항동 1-1
태재대학교,TAEJAE UNIVERSITY,본교,대학,사이버대학(대학),사립,11,서울특별시,서울특별시 종로구 창덕궁5길 22-8 (원서동),,3051,,www.taejae.ac.kr,02-740-1300,02-740-1305,2023-09-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 종로구 원서동 9-4
가야대학교(고령),Kaya University,제2캠퍼,대학,대학교,사립,47,경상북도,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교)",,40139,,WWW.KAYA.AC.KR,055-330-1000,055-331-0983,1993-03-13,2022,2023-12-27,B340014,한국대학교육협의회,경북 고령군 대가야읍 지산리 산 120
가야대학교(김해),Kaya University,본교,대학,대학교,사립,48,경상남도,경상남도 김해시 삼계로 208 (삼계동),,50830,,WWW.KAYA.AC.KR,055-330-1000,055-330-1093,1993-03-13,2022,2023-12-27,B340014,한국대학교육협의회,경남 김해시 삼계동 60
가천대학교,Gachon University,본교,대학,대학교,사립,41,경기도,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",,13120,,www.gachon.ac.kr,031-750-5114,031-753-8828,2012-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 성남시 수정구 복정동 620-2
가톨릭관동대학교,Catholic Kwandong University,본교,대학,대학교,사립,42,강원특별자치도,강원특별자치도 강릉시 범일로579번길 24 (내곡동),,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,1955-04-26,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 강릉시 내곡동 522
가톨릭꽃동네대학교,Catholic Kkottongnae University,본교,대학,대학교,사립,43,충청북도,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교)",,28211,,www.kkot.ac.kr,043-270-0109,043-270-0120,1998-11-30,2022,2023-12-27,B340014,한국대학교육협의회,충북 청주시 서원구 현도면 상삼리 387
가톨릭대학교,The Catholic University Of Korea,본교,대학,대학교,사립,41,경기도,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)",,14662,,www.catholic.ac.kr,02-2164-4114,02-2164-4754,1995-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 부천시 원미구 역곡동 산 43-1
가톨릭대학교,The Catholic University Of Korea,제2캠퍼,대학,대학교,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,6591,,www.catholic.ac.kr,02-2258-7114,02-533-4362,1995-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 서초구 반포동 505
가톨릭대학교,The Catholic University Of Korea,제3캠퍼,대학,대학교,사립,11,서울특별시,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",,3083,,www.catholic.ac.kr,02-740-9705,02-741-2801,1995-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 종로구 혜화동 90-1
감리교신학대학교,Methodist Theological University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",,3745,,www.mtu.ac.kr,02-361-9257,02-361-9006,1887-09-29,2022,2023-12-27,B340014,한국대학교육협의회,서울 서대문구 냉천동 31
강남대학교,Kangnam University,본교,대학,대학교,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,www.kangnam.ac.kr,031-280-3500,031-280-3173,1948-08-12,2022,2023-12-27,B340014,한국대학교육협의회,경기 용인시 기흥구 구갈동 111
강서대학교,GANGSEO UNIVERSITY,본교,대학,대학교,사립,11,서울특별시,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교)",,7661,,gangseo.ac.kr,02-2600-2400,02-2698-8876,1958-04-19,2022,2023-12-27,B340014,한국대학교육협의회,서울 강서구 화곡동 953-1
강원대학교,Kangwon National University,본교,대학,대학교,국립,42,강원특별자치도,강원특별자치도 춘천시 강원대학길 1 (효자동),,24341,,www.kangwon.ac.kr/,033-250-6114,033-251-9556,1970-03-01,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 춘천시 효자동 192-1
강원대학교,Kangwon National University,제2캠퍼,대학,대학교,국립,42,강원특별자치도,강원특별자치도 삼척시 중앙로 346 (교동),,25913,,www.kangwon.ac.kr/,033-570-6114,033-572-8620,2006-03-01,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 삼척시 교동 777
건국대학교,Konkuk University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,5029,,www.konkuk.ac.kr,02-450-3114,02-450-3179,1931-05-15,2022,2023-12-27,B340014,한국대학교육협의회,서울 광진구 화양동 1
건국대학교(글로컬),Konkuk University,분교,대학,대학교,사립,43,충청북도,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스)",,27478,,www.kku.ac.kr,043-840-3114,043-851-9356,1980-01-05,2022,2023-12-27,B340014,한국대학교육협의회,충북 충주시 단월동 322
건양대학교,Konyang University,본교,대학,대학교,사립,44,충청남도,"충청남도 논산시 대학로 121 (내동, 건양대학교)",,32992,,www.konyang.ac.kr,041-730-5114,041-733-2070,1990-11-28,2022,2023-12-27,B340014,한국대학교육협의회,충남 논산시 내동 26
건양대학교,Konyang University,제2캠퍼,대학,대학교,사립,30,대전광역시,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",,35365,,www.konyang.ac.kr,041-730-5114,041-733-2070,1990-11-28,2022,2023-12-27,B340014,한국대학교육협의회,대전 서구 관저동 1643
경기대학교,Kyonggi University,본교,대학,대학교,사립,41,경기도,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교)",,16227,,www.kyonggi.ac.kr,031-249-9114,031-243-2194,1947-11-08,2022,2023-12-27,B340014,한국대학교육협의회,경기 수원시 영통구 이의동 산 94-6
경기대학교,Kyonggi University,제2캠퍼,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)",,3746,,www.kyonggi.ac.kr,031-249-8711,031-249-8718,1947-11-08,2022,2023-12-27,B340014,한국대학교육협의회,서울 서대문구 충정로2가 67-9
경남과학기술대학교,Gyeongnam National University Of Science And Technology,본교,대학,대학교,국립,48,경상남도,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)",,52725,,www.gntech.ac.kr,055-751-3114,055-752-9554,1910-04-30,2022,2023-12-27,B340014,한국대학교육협의회,경남 진주시 칠암동 150-1
경남대학교,Kyungnam University,본교,대학,대학교,사립,48,경상남도,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)",,51767,,www.kyungnam.ac.kr,055-245-5000,055-246-6184,1946-12-27,2022,2023-12-27,B340014,한국대학교육협의회,경남 창원시 마산합포구 월영동 449
경동대학교,Kyungdong University,본교,대학,대학교,사립,42,강원특별자치도,강원특별자치도 고성군 토성면 봉포4길 46,,24764,,www.kduniv.ac.kr,033-631-2000,033-631-9542,1997-03-01,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 고성군 토성면 봉포리 306-5
경동대학교,Kyungdong University,제2캠퍼,대학,대학교,사립,42,강원특별자치도,강원특별자치도 속초시 도리원길 5 (노학동),,24865,,www.kduniv.ac.kr,033-632-6551,033-639-0518,2013-03-01,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 속초시 노학동 635-1
경동대학교,Kyungdong University,제3캠퍼,대학,대학교,사립,42,강원특별자치도,강원특별자치도 원주시 문막읍 견훤로 815,,26495,,www.kduniv.ac.kr,033-738-1200,033-738-1209,2013-03-01,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 원주시 문막읍 후용리 882
경동대학교,Kyungdong University,제4캠퍼,대학,대학교,사립,41,경기도,경기도 양주시 경동대학로 27 (고암동),,11458,,www.kduniv.ac.kr,031-869-9900,031-869-9909,2014-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 양주시 고암동 417-8
경북대학교,Kyungpook National University,본교,대학,대학교,국립,27,대구광역시,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",,41566,,www.knu.ac.kr,053-950-5114,053-950-2149,1946-05-28,2022,2023-12-27,B340014,한국대학교육협의회,대구 북구 산격동 1370-1
경상국립대학교,Gyeongsang National University,본교,대학,대학교,국립,48,경상남도,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",,52828,,www.gnu.ac.kr,055-772-1114,055-772-0359,1948-08-14,2022,2023-12-27,B340014,한국대학교육협의회,경남 진주시 가좌동 900
경성대학교,Kyungsung University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 남구 수영로 309 (대연동, 경성대학교)",,48434,,ks.ac.kr,051-663-4114,051-663-4089,1963-01-28,2022,2023-12-27,B340014,한국대학교육협의회,부산 남구 대연동 산 37-1
경운대학교,Kyungwoon University,본교,대학,대학교,사립,47,경상북도,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교)",,39160,,www.ikw.ac.kr,054-479-1114,054-479-1209,2012-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경북 구미시 산동읍 인덕리 171-3
경인교육대학교,Gyeongin National University Of Education,본교,대학,교육대학,국립,28,인천광역시,"인천광역시 계양구 계산로 62 (계산동, 경인교육대학교)",,21044,,www.ginue.ac.kr,032-540-1114,032-541-0580,1962-02-17,2022,2023-12-27,B340014,한국대학교육협의회,인천 계양구 계산동 857-87
경인교육대학교,Gyeongin National University Of Education,제2캠퍼,대학,교육대학,국립,41,경기도,"경기도 안양시 만안구 삼막로 155 (석수동, 경인교육대학교)",,13910,,www.ginue.ac.kr,031-470-6114,031-470-6139,2005-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 안양시 만안구 석수동 6-8
경일대학교,Kyungil University,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교)",,38428,,www.kiu.ac.kr,053-600-4000,053-600-4020,1996-12-11,2022,2023-12-27,B340014,한국대학교육협의회,경북 경산시 하양읍 부호리 33
경주대학교,Gyeongju University,본교,대학,대학교,사립,47,경상북도,"경상북도 경주시 태종로 188 (효현동, 경주대학교)",,38065,,www.gju.ac.kr,054-770-5114,054-748-2784,1987-12-12,2022,2023-12-27,B340014,한국대학교육협의회,경북 경주시 효현동 670
경희대학교,Kyung Hee University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",,2447,,www.khu.ac.kr,02-961-0114,02-961-0930,1951-05-18,2022,2023-12-27,B340014,한국대학교육협의회,서울 동대문구 회기동 1-5
계명대학교,Keimyung University,본교,대학,대학교,사립,27,대구광역시,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스)",,42601,,www.kmu.ac.kr,053-580-5114,053-580-5454,1954-05-20,2022,2023-12-27,B340014,한국대학교육협의회,대구 달서구 신당동 1000-2
고려대학교,Korea University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))",,2841,,www.korea.ac.kr,02-3290-1114,02-928-9102,1905-05-05,2022,2023-12-27,B340014,한국대학교육협의회,서울 성북구 안암동5가 1-2
고려대학교(세종),Korea University Sejong Campus,분교,대학,대학교,사립,36,세종특별자치시,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스)",,30019,,sejong.korea.ac.kr,044-860-1114,044-860-1048,1980-03-02,2022,2023-12-27,B340014,한국대학교육협의회,세종특별자치시 조치원읍 서창리 208
고신대학교,Kosin University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교)",,49104,,www.kosin.ac.kr,051-990-2114,051-911-2525,1946-09-20,2022,2023-12-27,B340014,한국대학교육협의회,부산 영도구 동삼동 516-36
공주교육대학교,Gongju National University Of Education,본교,대학,교육대학,국립,44,충청남도,"충청남도 공주시 웅진로 27 (봉황동, 공주교육대학교)",,32553,,www.gjue.ac.kr,041-850-1377,041-850-1374,1938-04-01,2022,2023-12-27,B340014,한국대학교육협의회,충남 공주시 봉황동 376-1
광신대학교,Kwangshin University,본교,대학,대학교,사립,29,광주광역시,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교)",,61027,,www.kwangshin.ac.kr,062-605-1004,062-571-7255,1996-12-11,2022,2023-12-27,B340014,한국대학교육협의회,광주 북구 본촌동 130
광운대학교,Kwangwoon University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)",,1897,,www.kw.ac.kr,02-940-5026,02-917-0896,1934-05-20,2022,2023-12-27,B340014,한국대학교육협의회,서울 노원구 월계동 447-1
광주가톨릭대학교,Gwangju Catholic University,본교,대학,대학교,사립,46,전라남도,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교)",,58230,,www.gjcatholic.ac.kr,061-337-2181,061-337-2185,1965-01-13,2022,2023-12-27,B340014,한국대학교육협의회,전남 나주시 남평읍 남석리 산 67-1
광주과학기술원,Gwangju Institute Of Science And Technology,본교,대학,대학교,특별법법,29,광주광역시,"광주광역시 북구 첨단과기로 123 (오룡동, 광주과학기술원)",,61005,,www.gist.ac.kr,062-715-2114,062-715-2300,1993-11-17,2022,2023-12-27,B340014,한국대학교육협의회,광주 북구 오룡동 1
광주교육대학교,Gwangju National University Of Education,본교,대학,교육대학,국립,29,광주광역시,"광주광역시 북구 필문대로 55 (풍향동, 광주교육대학교)",,61204,,www.gnue.ac.kr,062-520-4114,062-524-6022,1963-03-01,2022,2023-12-27,B340014,한국대학교육협의회,광주 북구 풍향동 1-1
광주대학교,Gwangju University,본교,대학,대학교,사립,29,광주광역시,"광주광역시 남구 효덕로 277 (진월동, 광주대학교)",,61743,,www.gwangju.ac.kr,062-670-2114,062-674-0078,2004-03-01,2022,2023-12-27,B340014,한국대학교육협의회,광주 남구 진월동 592-1
광주여자대학교,Kwangju Women University,본교,대학,대학교,사립,29,광주광역시,광주광역시 광산구 광주여대길 40 (산정동),,62396,,www.kwu.ac.kr,062-956-2500,062-953-2218,1997-03-03,2022,2023-12-27,B340014,한국대학교육협의회,광주 광산구 산정동 산 105-1
국립강릉원주대학교,Gangneung Wonju National University,본교,대학,대학교,국립,42,강원특별자치도,강원특별자치도 강릉시 죽헌길 7 (지변동),,25457,,www.gwnu.ac.kr,033-642-7001,033-643-7110,1979-03-01,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 강릉시 지변동 123
국립강릉원주대학교,Gangneung Wonju National University,제2캠퍼,대학,대학교,국립,42,강원특별자치도,강원특별자치도 원주시 흥업면 남원로 150,,26403,,www.gwnu.ac.kr,033-760-8020,033-760-8029,2007-03-01,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 원주시 흥업면 흥업리 7
국립공주대학교,Kongju National University,본교,대학,대학교,국립,44,충청남도,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",,32588,,www.kongju.ac.kr,041-850-8114,041-850-8019,1948-07-31,2022,2023-12-27,B340014,한국대학교육협의회,충남 공주시 신관동 182
국립군산대학교,Kunsan National University,본교,대학,대학교,국립,45,전라북도,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",,54150,,www.kunsan.ac.kr,063-469-4114,063-469-5334,1979-01-18,2022,2023-12-27,B340014,한국대학교육협의회,전북특별자치도 군산시 미룡동 290-2
국립금오공과대학교,Kumoh National Institute Of Technology,본교,대학,대학교,국립,47,경상북도,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",,39177,,www.kumoh.ac.kr,054-478-7114,054-478-7100,1980-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경북 구미시 양호동 1
국립목포대학교,Mokpo National University,본교,대학,대학교,국립,46,전라남도,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",,58554,,www.mokpo.ac.kr,061-450-2114,061-452-4793,1946-10-31,2022,2023-12-27,B340014,한국대학교육협의회,전남 무안군 청계면 도림리 61
국립목포해양대학교,Mokpo National Maritime University,본교,대학,대학교,국립,46,전라남도,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",,58628,,www.mmu.ac.kr,061-240-7114,061-242-5176,1993-03-01,2022,2023-12-27,B340014,한국대학교육협의회,전남 목포시 죽교동 562-84
국립부경대학교,Pukyong National University,본교,대학,대학교,국립,26,부산광역시,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",,48513,,www.pknu.ac.kr,051-629-4114,051-629-5089,1996-07-06,2022,2023-12-27,B340014,한국대학교육협의회,부산 남구 대연동 430-1
국립순천대학교,Sunchon National University,본교,대학,대학교,국립,46,전라남도,"전라남도 순천시 중앙로 255 (석현동, 순천대학교)",,57922,,www.scnu.ac.kr/SCNU/main.do,061-750-3114,061-750-3117,1982-03-10,2022,2023-12-27,B340014,한국대학교육협의회,전남 순천시 석현동 313
국립안동대학교,Andong National University,본교,대학,대학교,국립,47,경상북도,"경상북도 안동시 경동로 1375 (송천동, 안동대학교)",,36729,,www.andong.ac.kr/main/index.do,054-820-5114,054-820-7115,1979-03-12,2022,2023-12-27,B340014,한국대학교육협의회,경북 안동시 송천동 388
국립창원대학교,Changwon National University,본교,대학,대학교,국립,48,경상남도,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교)",,51140,,www.changwon.ac.kr,055-213-2114,055-283-2970,1969-03-21,2022,2023-12-27,B340014,한국대학교육협의회,경남 창원시 의창구 퇴촌동 69
국립한국교통대학교,Korea National University Of Transportation,본교,대학,대학교,국립,43,충청북도,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교)",,27469,,www.ut.ac.kr,043-841-5002,043-853-1236,1914-04-01,2022,2023-12-27,B340014,한국대학교육협의회,충북 충주시 대소원면 검단리 123
국립한국해양대학교,National Korea Maritime & Ocean University,본교,대학,대학교,국립,26,부산광역시,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교)",,49112,,www.kmou.ac.kr,051-410-4114,051-405-2475,1945-11-05,2022,2023-12-27,B340014,한국대학교육협의회,부산 영도구 동삼동 1
국립한밭대학교,Hanbat National University,본교,대학,대학교,국립,30,대전광역시,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)",,34158,,www.hanbat.ac.kr,042-821-1114,042-825-5395,2012-03-01,2022,2023-12-27,B340014,한국대학교육협의회,대전 유성구 덕명동 16-1
국민대학교,Kookmin University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",,2707,,www.kookmin.ac.kr,02-910-4114,02-910-4169,1946-09-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 성북구 정릉동 861-1
국제사이버대학교,Gukje Cyber University,본교,대학,사이버대학(대학),사립,41,경기도,경기도 수원시 팔달구 경수대로 490 (인계동),,16487,,www.gjcu.ac.kr,031-229-6212,031-267-0750,2003-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 수원시 팔달구 인계동 950-12
극동대학교,Far East University,본교,대학,대학교,사립,43,충청북도,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)",,27601,,www.kdu.ac.kr,043-879-3500,043-879-3519,1997-12-05,2022,2023-12-27,B340014,한국대학교육협의회,충북 음성군 감곡면 왕장리 234-4
글로벌사이버대학교,Global Cyber University,본교,대학,사이버대학(대학),사립,44,충청남도,"충청남도 천안시 동남구 목천읍 교천지산길 284-88 (지산리, 글로벌사이버대학교)",,31228,,www.global.ac.kr,1577-1786,041-415-6199,2010-03-01,2022,2023-12-27,B340014,한국대학교육협의회,충남 천안시 동남구 목천읍 지산리 189-4
금강대학교,Geumgang University,본교,대학,대학교,사립,44,충청남도,"충청남도 논산시 상월면 상월로 522 (대명리, 금강대학교)",,32906,,www.ggu.ac.kr,041-731-3114,041-731-3319,2002-11-16,2022,2023-12-27,B340014,한국대학교육협의회,충남 논산시 상월면 대명리 14-9
김천대학교,Gimcheon University,본교,대학,대학교,사립,47,경상북도,"경상북도 김천시 대학로 214 (삼락동, 김천대학교)",,39528,,www.gimcheon.ac.kr,054-420-4000,054-420-4003,2010-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경북 김천시 삼락동 754-1
나사렛대학교,Korea Nazarene University,본교,대학,대학교,사립,44,충청남도,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",,31172,,www.kornu.ac.kr,041-570-7794,041-570-7725,1954-09-14,2022,2023-12-27,B340014,한국대학교육협의회,충남 천안시 서북구 쌍용동 456
남부대학교,Nambu University,본교,대학,대학교,사립,29,광주광역시,광주광역시 광산구 남부대길 1 (월계동),,62271,,www.nambu.ac.kr,062-970-0001,062-972-6200,1999-03-12,2022,2023-12-27,B340014,한국대학교육협의회,광주 광산구 월계동 864-1
