학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,소재지도로명주소,도로명우편번호,설립일자,지번주소,시,구,동,이외주소,구_동
성공회대학교,Sungkonghoe University,본교,대학,대학교,사립,"서울특별시 구로구 연동로 320 (항동, 성공회대학교)",8359,1992-12-23,서울 구로구 항동 1-1,서울,구로구,항동,1-1,구로구 항동
태재대학교,TAEJAE UNIVERSITY,본교,대학,사이버대학(대학),사립,서울특별시 종로구 창덕궁5길 22-8 (원서동),3051,2023-09-01,서울 종로구 원서동 9-4,서울,종로구,원서동,9-4,종로구 원서동
가톨릭대학교,The Catholic University Of Korea,제2캠퍼,대학,대학교,사립,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",6591,1995-03-01,서울 서초구 반포동 505,서울,서초구,반포동,505,서초구 반포동
가톨릭대학교,The Catholic University Of Korea,제3캠퍼,대학,대학교,사립,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",3083,1995-03-01,서울 종로구 혜화동 90-1,서울,종로구,혜화동,90-1,종로구 혜화동
감리교신학대학교,Methodist Theological University,본교,대학,대학교,사립,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",3745,1887-09-29,서울 서대문구 냉천동 31,서울,서대문구,냉천동,31,서대문구 냉천동
강서대학교,GANGSEO UNIVERSITY,본교,대학,대학교,사립,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교)",7661,1958-04-19,서울 강서구 화곡동 953-1,서울,강서구,화곡동,953-1,강서구 화곡동
건국대학교,Konkuk University,본교,대학,대학교,사립,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",5029,1931-05-15,서울 광진구 화양동 1,서울,광진구,화양동,1,광진구 화양동
경기대학교,Kyonggi University,제2캠퍼,대학,대학교,사립,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)",3746,1947-11-08,서울 서대문구 충정로2가 67-9,서울,서대문구,충정로2가,67-9,서대문구 충정로2가
경희대학교,Kyung Hee University,본교,대학,대학교,사립,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",2447,1951-05-18,서울 동대문구 회기동 1-5,서울,동대문구,회기동,1-5,동대문구 회기동
고려대학교,Korea University,본교,대학,대학교,사립,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))",2841,1905-05-05,서울 성북구 안암동5가 1-2,서울,성북구,안암동5가,1-2,성북구 안암동5가
광운대학교,Kwangwoon University,본교,대학,대학교,사립,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)",1897,1934-05-20,서울 노원구 월계동 447-1,서울,노원구,월계동,447-1,노원구 월계동
국민대학교,Kookmin University,본교,대학,대학교,사립,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",2707,1946-09-01,서울 성북구 정릉동 861-1,서울,성북구,정릉동,861-1,성북구 정릉동
덕성여자대학교,Duksung Women’S University,본교,대학,대학교,사립,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교)",1369,1950-05-17,서울 도봉구 쌍문동 419,서울,도봉구,쌍문동,419,도봉구 쌍문동
동국대학교,Dongguk University,본교,대학,대학교,사립,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)",4620,1946-09-20,서울 중구 필동3가 26-1,서울,중구,필동3가,26-1,중구 필동3가
동덕여자대학교,Dongduk Women’s University,본교,대학,대학교,사립,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)",2748,1950-05-27,서울 성북구 하월곡동 23-1,서울,성북구,하월곡동,23-1,성북구 하월곡동
디지털서울문화예술대학교,Digital Seoul Culture Arts University,본교,대학,사이버대학(대학),사립,"서울특별시 서대문구 통일로37길 60 (홍제동, 디지털서울문화예술대학교)",3645,2010-03-01,서울 서대문구 홍제동 318-18,서울,서대문구,홍제동,318-18,서대문구 홍제동
명지대학교,Myongji University Social Science Campus,제2캠퍼,대학,대학교,사립,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교)",3674,1948-09-07,서울 서대문구 남가좌동 50-3,서울,서대문구,남가좌동,50-3,서대문구 남가좌동
사이버한국외국어대학교,Cyber Hankuk University Of Foreign Studies,본교,대학,사이버대학(대학),사립,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교)",2450,2004-03-01,서울 동대문구 이문동 270-1,서울,동대문구,이문동,270-1,동대문구 이문동
삼육대학교,Sahmyook University,본교,대학,대학교,사립,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교)",1795,1962-02-27,서울 노원구 공릉동 26-21,서울,노원구,공릉동,26-21,노원구 공릉동
상명대학교,Sangmyung University (Seoul),본교,대학,대학교,사립,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",3016,1965-01-13,서울 종로구 홍지동 7-1,서울,종로구,홍지동,7-1,종로구 홍지동
서강대학교,Sogang University,본교,대학,대학교,사립,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",4107,1960-04-18,서울 마포구 신수동 1-1,서울,마포구,신수동,1-1,마포구 신수동
서경대학교,Seokyeong University,본교,대학,대학교,사립,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교)",2713,1992-09-01,서울 성북구 정릉동 산 16-1,서울,성북구,정릉동,산 16-1,성북구 정릉동
서울과학기술대학교,Seoul National University Of Science And Technology,본교,대학,대학교,국립,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교)",1811,2012-03-01,서울 노원구 공릉동 172,서울,노원구,공릉동,172,노원구 공릉동
서울교육대학교,Seoul National University Of Education,본교,대학,교육대학,국립,"서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교)",6639,1946-05-22,서울 서초구 서초동 1650,서울,서초구,서초동,1650,서초구 서초동
서울기독대학교,Seoul Christian University,본교,대학,대학교,사립,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교)",3422,1997-12-05,서울 은평구 신사동 1-19,서울,은평구,신사동,1-19,은평구 신사동
서울대학교,Seoul National University,본교,대학,대학교,국립대법,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,1946-08-22,서울 관악구 신림동 산 56-1,서울,관악구,신림동,산 56-1,관악구 신림동
서울디지털대학교,Seoul Digital University,본교,대학,사이버대학(대학),사립,"서울특별시 강서구 공항대로 424 (화곡동, 서울디지털대학교)",7654,2001-03-01,서울 강서구 화곡동 1107-2,서울,강서구,화곡동,1107-2,강서구 화곡동
서울사이버대학교,Seoul Cyber University,본교,대학,사이버대학(대학),사립,"서울특별시 강북구 솔매로49길 60 (미아동, 서울사이버대학교)",1133,2000-11-30,서울 강북구 미아동 193-15,서울,강북구,미아동,193-15,강북구 미아동
서울시립대학교,University Of Seoul,본교,대학,대학교,공립,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교)",2504,1918-05-01,서울 동대문구 전농동 694,서울,동대문구,전농동,694,동대문구 전농동
서울여자대학교,Seoul Women’s University,본교,대학,대학교,사립,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교)",1797,1960-12-12,서울 노원구 공릉동 126,서울,노원구,공릉동,126,노원구 공릉동
서울한영대학교,Seoul Hanyoung University,본교,대학,대학교,사립,서울특별시 구로구 경인로 290-42 (개봉동),8274,1996-11-11,서울 구로구 개봉동 415-9,서울,구로구,개봉동,415-9,구로구 개봉동
성균관대학교,Sungkyunkwan University,본교,대학,대학교,사립,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)",3063,1946-09-25,서울 종로구 명륜3가 53-21,서울,종로구,명륜3가,53-21,종로구 명륜3가
성신여자대학교,Sungshin Women’S University,본교,대학,대학교,사립,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교)",2844,1965-01-13,서울 성북구 돈암동 173-1,서울,성북구,돈암동,173-1,성북구 돈암동
세종대학교,Sejong University,본교,대학,대학교,사립,"서울특별시 광진구 능동로 209 (군자동, 세종대학교)",5006,1978-10-07,서울 광진구 군자동 98,서울,광진구,군자동,98,광진구 군자동
세종사이버대학교,Sejong Cyber University,본교,대학,사이버대학(대학),사립,"서울특별시 광진구 군자로 121 (군자동, 세종사이버대학)",5000,2001-03-01,서울 광진구 군자동 98,서울,광진구,군자동,98,광진구 군자동
숙명여자대학교,Sookmyung Women’S University,본교,대학,대학교,사립,"서울특별시 용산구 청파로47길 90 (청파동2가, 숙명여자대학교)",4310,1938-12-21,서울 용산구 청파동2가 53,서울,용산구,청파동2가,53,용산구 청파동2가
숭실대학교,Soongsil University,본교,대학,대학교,사립,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)",6978,1897-10-10,서울 동작구 상도동 511,서울,동작구,상도동,511,동작구 상도동
숭실사이버대학교,Korea Soongsil Cyber University,본교,대학,사이버대학(대학),사립,"서울특별시 종로구 삼일대로30길 23 (익선동, BIZWELL종로오피스텔)",3132,2009-03-01,서울 종로구 익선동 34,서울,종로구,익선동,34,종로구 익선동
연세대학교,Yonsei University,본교,대학,대학교,사립,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교)",3722,1957-01-05,서울 서대문구 신촌동 134,서울,서대문구,신촌동,134,서대문구 신촌동
이화여자대학교,Ewha Womans University,본교,대학,대학교,사립,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교)",3760,1946-08-15,서울 서대문구 대현동 11-1,서울,서대문구,대현동,11-1,서대문구 대현동
장로회신학대학교,Presbyterian University & Theological Seminary,본교,대학,대학교,사립,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교)",4965,1961-02-02,서울 광진구 광장동 353,서울,광진구,광장동,353,광진구 광장동
정석대학,Jungseok Institute Of Technology,본교,대학,기술대학,사립,서울특별시 강서구 오정로 576 (공항동),7505,2000-03-01,서울 강서구 공항동 369-2,서울,강서구,공항동,369-2,강서구 공항동
중앙대학교,Chung-Ang University,본교,대학,대학교,사립,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교)",6974,1918-04-01,서울 동작구 흑석동 221,서울,동작구,흑석동,221,동작구 흑석동
총신대학교,Chongshin University,본교,대학,대학교,사립,"서울특별시 동작구 사당로 143 (사당동, 총신대학교)",6988,1967-06-02,서울 동작구 사당동 200-1,서울,동작구,사당동,200-1,동작구 사당동
추계예술대학교,Chugye University For The Arts,본교,대학,대학교,사립,"서울특별시 서대문구 북아현로11가길 7 (북아현동, 추계예술대학교)",3762,1996-12-11,서울 서대문구 북아현동 190-1,서울,서대문구,북아현동,190-1,서대문구 북아현동
한국방송통신대학교,Korea National Open University,본교,대학,방송통신대학,국립,"서울특별시 종로구 대학로 86 (동숭동, 한국방송통신대학교)",3087,1972-03-09,서울 종로구 동숭동 169-1,서울,종로구,동숭동,169-1,종로구 동숭동
한국성서대학교,Korean Bible University,본교,대학,대학교,사립,"서울특별시 노원구 동일로214길 32 (상계동, 한국성서대학교)",1757,1996-12-11,서울 노원구 상계동 205-4,서울,노원구,상계동,205-4,노원구 상계동
한국열린사이버대학교,Open Cyber University Of Korea (OCU),본교,대학,사이버대학(대학),사립,"서울특별시 중랑구 망우로 353, C동 9층(상봉프레미어스엠코)",2087,2001-03-01,서울 중랑구 상봉동 500,서울,중랑구,상봉동,500,중랑구 상봉동
한국예술종합학교,Korea National University Of Arts,본교,대학,각종학교(대학),특별법국,"서울특별시 성북구 화랑로32길 146-37 (석관동, 한국종합예술학교)",2789,1992-10-30,서울 성북구 석관동 409,서울,성북구,석관동,409,성북구 석관동
한국체육대학교,Korea National Sport University,본교,대학,대학교,국립,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교)",5541,1976-12-30,서울 송파구 방이동 88-15,서울,송파구,방이동,88-15,송파구 방이동
한성대학교,Hansung University,본교,대학,대학교,사립,"서울특별시 성북구 삼선교로16길 116 (삼선동2가, 한성대학교)",2876,1972-12-21,서울 성북구 삼선동2가 389,서울,성북구,삼선동2가,389,성북구 삼선동2가
한양대학교,Hanyang University,본교,대학,대학교,사립,"서울특별시 성동구 왕십리로 222 (사근동, 한양대학교)",4763,1948-07-01,서울 성동구 사근동 110,서울,성동구,사근동,110,성동구 사근동
홍익대학교,Hongik University,본교,대학,대학교,사립,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교)",4066,1946-04-25,서울 마포구 상수동 72-1,서울,마포구,상수동,72-1,마포구 상수동
동양미래대학교,Dongyang Mirae University,본교,전문대학,전문대학,사립,"서울특별시 구로구 경인로 445 (고척동, 동양미래대학)",8221,1965-04-21,서울 구로구 고척동 62-160,서울,구로구,고척동,62-160,구로구 고척동
명지전문대학,Myongji College,본교,전문대학,전문대학,사립,"서울특별시 서대문구 가좌로 134 (홍은동, 명지전문대학)",3656,1974-03-09,서울 서대문구 홍은동 356-1,서울,서대문구,홍은동,356-1,서대문구 홍은동
배화여자대학교,Baewha Women’S University,본교,전문대학,전문대학,사립,"서울특별시 종로구 필운대로1길 34 (필운동, 배화여자대학)",3039,1978-03-02,서울 종로구 필운동 12,서울,종로구,필운동,12,종로구 필운동
삼육보건대학교,Sahmyook Health University,본교,전문대학,전문대학,사립,"서울특별시 동대문구 망우로 82 (휘경동, 삼육보건대학)",2500,1936-04-01,서울 동대문구 휘경동 29-1,서울,동대문구,휘경동,29-1,동대문구 휘경동
서울여자간호대학교,Seoul Women’S College Of Nursing,본교,전문대학,전문대학,사립,"서울특별시 서대문구 간호대로 38 (홍제동, 서울여자간호대학교)",3617,1954-05-28,서울 서대문구 홍제동 287-89,서울,서대문구,홍제동,287-89,서대문구 홍제동
서일대학교,Seoil University,본교,전문대학,전문대학,사립,서울특별시 중랑구 용마산로90길 28 (면목동),2192,1974-12-21,서울 중랑구 면목동 49-3,서울,중랑구,면목동,49-3,중랑구 면목동
숭의여자대학교,Soongeui Women’s University,본교,전문대학,전문대학,사립,"서울특별시 중구 소파로2길 10 (예장동, 숭의여자대학)",4628,1903-10-31,서울 중구 예장동 8-3,서울,중구,예장동,8-3,중구 예장동
인덕대학교,Induk University,본교,전문대학,전문대학,사립,"서울특별시 노원구 초안산로 12 (월계동, 인덕대학)",1878,1971-12-23,서울 노원구 월계동 648,서울,노원구,월계동,648,노원구 월계동
한국폴리텍 I 대학 서울강서캠퍼스,Korea PolytechnicsⅠcollege Seoulkangseocampus,본교,전문대학,기능대학,사립,"서울특별시 강서구 우장산로10길 112 (화곡동, 한국폴리텍Ⅰ서울강서대학)",7684,1998-03-27,서울 강서구 화곡동 산 60-1,서울,강서구,화곡동,산 60-1,강서구 화곡동
한국폴리텍 I 대학 서울정수캠퍼스,Seoul Jungsu Campus Of Korea PolytechnicⅠ,본교,전문대학,기능대학,사립,"서울특별시 용산구 보광로 73 (보광동, 한국폴리텍1대학서울정수캠퍼스)",4392,1973-02-01,서울 용산구 보광동 238-2,서울,용산구,보광동,238-2,용산구 보광동
덕성여자대학교 교육대학원,The Graduate School Of Education Duksung Women’S University,본교,대학원,특수대학원,사립,"서울특별시 종로구 삼일대로 460 (운니동, 덕성여자대학교 교육, 문화산업대학원)",3131,1996-10-30,서울 종로구 운니동 114-7,서울,종로구,운니동,114-7,종로구 운니동
백석대학교 교육대학원,"Graduate School Of Education, Baekseok University",본교,대학원,특수대학원,사립,"서울특별시 서초구 방배로9길 15 (방배동, 목양동백석대학교)",6695,1999-11-19,서울 서초구 방배동 981-61,서울,서초구,방배동,981-61,서초구 방배동
서울대학교 의학대학원,School Of Medicine,본교,대학원,전문대학원,국립대법,"서울특별시 종로구 대학로 103 (연건동, 서울대학교 의과대학)",3080,2008-12-05,서울 종로구 연건동 28-2,서울,종로구,연건동,28-2,종로구 연건동
한신대학교 사회혁신경영대학원,"The Graduate Of Social Innovation Business, Hanshin University",본교,대학원,특수대학원,사립,"서울특별시 강북구 인수봉로 159 (수유동, 한신대학교신학대학원)",1025,2014-03-06,서울 강북구 수유동 498-16,서울,강북구,수유동,498-16,강북구 수유동
호서대학교 글로벌창업대학원,Hoseo Graduate School Of Enterpreneurship,본교,대학원,특수대학원,사립,서울특별시 서초구 남부순환로 2497 (서초동),6724,2004-11-24,서울 서초구 서초동 1422-7,서울,서초구,서초동,1422-7,서초구 서초동
호서대학교 벤처전문대학원,Graduate School Of Venture,본교,대학원,전문대학원,사립,서울특별시 서초구 반포대로 9 (서초동),6711,1999-11-02,서울 서초구 서초동 1463-10,서울,서초구,서초동,1463-10,서초구 서초동
